"","colour"
"1","#F2F8FD"
"2","#E9F8FC"
"3","#E1F8FC"
"4","#D9F8FC"
"5","#D0F9FC"
"6","#C8F9FC"
"7","#C0F9FC"
"8","#B8F9FC"
"9","#AFFAFC"
"10","#A7FAFC"
"11","#9FFAFC"
"12","#97FBFC"
"13","#8EFBFC"
"14","#86FBFC"
"15","#7EFBFC"
"16","#75FCFC"
"17","#6CFCFC"
"18","#63FCFC"
"19","#5BFCFC"
"20","#52FCFD"
"21","#49FCFD"
"22","#40FCFD"
"23","#37FCFD"
"24","#2FFCFD"
"25","#26FCFE"
"26","#1DFCFE"
"27","#14FCFE"
"28","#0BFCFE"
"29","#02FCFE"
"30","#00FBFE"
"31","#00F9FE"
"32","#00F6FE"
"33","#00F4FE"
"34","#00F2FE"
"35","#00F0FE"
"36","#00EDFE"
"37","#00EBFD"
"38","#00E9FD"
"39","#00E7FD"
"40","#00E4FD"
"41","#00E2FD"
"42","#00E0FD"
"43","#00DEFD"
"44","#01DCFD"
"45","#01DAFD"
"46","#01D8FD"
"47","#01D7FD"
"48","#01D5FD"
"49","#01D4FD"
"50","#01D2FD"
"51","#02D0FE"
"52","#02CFFE"
"53","#02CDFE"
"54","#02CBFE"
"55","#02CAFE"
"56","#02C8FE"
"57","#02C7FE"
"58","#03C4FF"
"59","#03C1FF"
"60","#03BEFF"
"61","#04BBFF"
"62","#04B8FF"
"63","#05B5FF"
"64","#05B2FF"
"65","#06AFFF"
"66","#06ACFF"
"67","#06A9FF"
"68","#07A6FF"
"69","#07A3FF"
"70","#08A0FF"
"71","#089DFF"
"72","#0899FE"
"73","#0891FB"
"74","#088AF7"
"75","#0882F4"
"76","#087AF0"
"77","#0872ED"
"78","#086AEA"
"79","#0762E6"
"80","#075BE3"
"81","#0753DF"
"82","#074BDC"
"83","#0743D9"
"84","#073BD5"
"85","#0733D2"
"86","#072CCF"
"87","#0629CA"
"88","#0627C6"
"89","#0625C2"
"90","#0622BD"
"91","#0620B9"
"92","#061EB5"
"93","#061BB0"
"94","#0519AC"
"95","#0517A8"
"96","#0514A3"
"97","#05129F"
"98","#05109B"
"99","#050D97"
"100","#050B92"
"101","#040A89"
"102","#04097F"
"103","#040874"
"104","#04086A"
"105","#040760"
"106","#040655"
"107","#04054B"
"108","#040441"
"109","#040436"
"110","#04032C"
"111","#040222"
"112","#040118"
"113","#04010D"
"114","#040003"
"115","#030000"
"116","#030000"
"117","#030000"
"118","#020000"
"119","#020000"
"120","#020000"
"121","#020000"
"122","#010000"
"123","#010000"
"124","#010000"
"125","#000000"
"126","#000000"
"127","#000000"
"128","#000000"
"129","#040001"
"130","#0D0004"
"131","#160006"
"132","#1F0009"
"133","#28000C"
"134","#31000E"
"135","#3A0011"
"136","#430014"
"137","#4C0016"
"138","#550019"
"139","#5E001C"
"140","#67001E"
"141","#700021"
"142","#790024"
"143","#810026"
"144","#850026"
"145","#8A0026"
"146","#8E0026"
"147","#920026"
"148","#960026"
"149","#9B0026"
"150","#9F0026"
"151","#A30026"
"152","#A80026"
"153","#AC0026"
"154","#B00026"
"155","#B50026"
"156","#B90026"
"157","#BD0025"
"158","#C00225"
"159","#C20324"
"160","#C50523"
"161","#C80723"
"162","#CA0922"
"163","#CD0B21"
"164","#D00D20"
"165","#D20E20"
"166","#D5101F"
"167","#D8121E"
"168","#DA141E"
"169","#DD161D"
"170","#E0181C"
"171","#E31A1C"
"172","#E41D1C"
"173","#E6211D"
"174","#E8251E"
"175","#EA281F"
"176","#EB2C20"
"177","#ED3021"
"178","#EF3322"
"179","#F13723"
"180","#F23B24"
"181","#F43E25"
"182","#F64226"
"183","#F84627"
"184","#F94928"
"185","#FB4D29"
"186","#FC512B"
"187","#FC562C"
"188","#FC5A2D"
"189","#FC5F2E"
"190","#FC6330"
"191","#FC6731"
"192","#FC6C32"
"193","#FC7033"
"194","#FC7535"
"195","#FC7936"
"196","#FC7E37"
"197","#FC8239"
"198","#FC873A"
"199","#FC8B3B"
"200","#FD8E3C"
"201","#FD913D"
"202","#FD933F"
"203","#FD9640"
"204","#FD9941"
"205","#FD9B42"
"206","#FD9E43"
"207","#FDA144"
"208","#FDA345"
"209","#FDA646"
"210","#FDA848"
"211","#FDAB49"
"212","#FDAE4A"
"213","#FDB04B"
"214","#FEB34D"
"215","#FEB650"
"216","#FEB853"
"217","#FEBB56"
"218","#FEBE59"
"219","#FEC15C"
"220","#FEC35F"
"221","#FEC662"
"222","#FEC965"
"223","#FECC68"
"224","#FECE6B"
"225","#FED16E"
"226","#FED471"
"227","#FED774"
"228","#FED976"
"229","#FEDA79"
"230","#FEDC7C"
"231","#FEDD7F"
"232","#FEDF82"
"233","#FEE085"
"234","#FEE188"
"235","#FEE38B"
"236","#FEE48E"
"237","#FEE691"
"238","#FEE794"
"239","#FEE997"
"240","#FEEA9A"
"241","#FEEB9D"
"242","#FFEDA0"
"243","#FFEEA3"
"244","#FFEFA6"
"245","#FFF1A9"
"246","#FFF2AC"
"247","#FFF3B0"
"248","#FFF4B3"
"249","#FFF6B6"
"250","#FFF7B9"
"251","#FFF8BC"
"252","#FFF9BF"
"253","#FFFBC2"
"254","#FFFCC5"
"255","#FFFDC8"
"256","#FFFFCC"
